tag,cve,severity,feed,feed_group,package,package_path,package_type,package_version,fix,url,inherited,description,nvd_cvss_v2_vector,nvd_cvss_v3_vector,vendor_cvss_v2_vector,vendor_cvss_v3_vector,Justification
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8-minimal:190344,CVE-2020-8927,Medium,vulnerabilities,rhel:8,brotli-1.0.6-2.el8,pkgdb,rpm,1.0.6-2.el8,None,https://access.redhat.com/security/cve/CVE-2020-8927,no_data,"A buffer overflow exists in the Brotli library versions prior to 1.0.8 where an attacker controlling the input length of a ""one-shot"" decompression request to a script can trigger a crash, which happens when copying over chunks of data larger than 2 GiB. It is recommended to update your Brotli library to 1.0.8 or later. If one cannot update, we recommend to use the ""streaming"" API as opposed to the ""one-shot"" API, and impose chunk size limits.",AV:N/AC:L/Au:N/C:N/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,,,Patched upstream in version 1.0.9 on 8/27/2020. Red Hat has not patched. This flaw can be mitigated by using the Streaming API instead of the One-Shot API and imposing chunk size limitations.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8-minimal:190344,CVE-2020-8231,Low,vulnerabilities,rhel:8,curl-7.61.1-14.el8_3.1,pkgdb,rpm,7.61.1-14.el8_3.1,None,https://access.redhat.com/security/cve/CVE-2020-8231,no_data,"Due to use of a dangling pointer, libcurl 7.29.0 through 7.71.1 can use the wrong connection when sending data.",AV:N/AC:L/Au:N/C:P/I:N/A:N,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,,Published 2020-08-18. Fix available upstream in Fedora 32 (2020-08-21). Red Hat has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8-minimal:190344,CVE-2020-8284,Medium,vulnerabilities,rhel:8,curl-7.61.1-14.el8_3.1,pkgdb,rpm,7.61.1-14.el8_3.1,None,https://access.redhat.com/security/cve/CVE-2020-8284,no_data,"A malicious server can use the FTP PASV response to trick curl 7.73.0 and earlier into connecting back to a given IP address and port, and this way potentially make curl extract information about services that are otherwise private and not disclosed, for example doing port scanning and service banner extractions.",AV:N/AC:M/Au:N/C:P/I:N/A:N,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,,,Upstream patched in version 7.74.0 on 12/9/2020. Redhat has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8-minimal:190344,CVE-2020-8285,Medium,vulnerabilities,rhel:8,curl-7.61.1-14.el8_3.1,pkgdb,rpm,7.61.1-14.el8_3.1,None,https://access.redhat.com/security/cve/CVE-2020-8285,no_data,curl 7.21.0 to and including 7.73.0 is vulnerable to uncontrolled recursion due to a stack overflow issue in FTP wildcard match parsing.,AV:N/AC:L/Au:N/C:N/I:N/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,,Upstream patched in version 7.74.0 on 12/9/2020. Redhat has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8-minimal:190344,CVE-2020-8286,Medium,vulnerabilities,rhel:8,curl-7.61.1-14.el8_3.1,pkgdb,rpm,7.61.1-14.el8_3.1,None,https://access.redhat.com/security/cve/CVE-2020-8286,no_data,curl 7.41.0 through 7.73.0 is vulnerable to an improper check for certificate revocation due to insufficient verification of the OCSP response.,AV:N/AC:L/Au:N/C:N/I:P/A:N,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,,Upstream patched in version 7.74.0 on 12/9/2020. Redhat has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8-minimal:190344,CVE-2019-25013,High,vulnerabilities,rhel:8,glibc-2.28-127.el8_3.2,pkgdb,rpm,2.28-127.el8_3.2,None,https://access.redhat.com/security/cve/CVE-2019-25013,no_data,"The iconv feature in the GNU C Library (aka glibc or libc6) through 2.32, when processing invalid multi-byte input sequences in the EUC-KR encoding, may have a buffer over-read.",AV:N/AC:M/Au:N/C:N/I:N/A:C,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,,,Upstream patched in version 2.33 on 12/21/2020. RH has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8-minimal:190344,CVE-2020-27618,Low,vulnerabilities,rhel:8,glibc-2.28-127.el8_3.2,pkgdb,rpm,2.28-127.el8_3.2,None,https://access.redhat.com/security/cve/CVE-2020-27618,no_data,"The iconv function in the GNU C Library (aka glibc or libc6) 2.32 and earlier, when processing invalid multi-byte input sequences in IBM1364, IBM1371, IBM1388, IBM1390, and IBM1399 encodings, fails to advance the input state, which could lead to an infinite loop in applications, resulting in a denial of service, a different vulnerability from CVE-2016-10228.",AV:L/AC:L/Au:N/C:N/I:N/A:P,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,,No upstream fix is available.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8-minimal:190344,CVE-2021-27645,Low,vulnerabilities,rhel:8,glibc-2.28-127.el8_3.2,pkgdb,rpm,2.28-127.el8_3.2,None,https://access.redhat.com/security/cve/CVE-2021-27645,no_data,"The nameserver caching daemon (nscd) in the GNU C Library (aka glibc or libc6) 2.29 through 2.33, when processing a request for netgroup lookup, may crash due to a double-free, potentially resulting in degraded service or Denial of Service on the local system. This is related to netgroupcache.c.",AV:L/AC:M/Au:N/C:N/I:N/A:P,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,,,Upstream has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8-minimal:190344,CVE-2021-3326,Medium,vulnerabilities,rhel:8,glibc-2.28-127.el8_3.2,pkgdb,rpm,2.28-127.el8_3.2,None,https://access.redhat.com/security/cve/CVE-2021-3326,no_data,"The iconv function in the GNU C Library (aka glibc or libc6) 2.32 and earlier, when processing invalid input sequences in the ISO-2022-JP-3 encoding, fails an assertion in the code path and aborts the program, potentially resulting in a denial of service.",AV:N/AC:L/Au:N/C:N/I:N/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,,Upstream patched in v2.33 on 2/1/2021. RH has not patched
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8-minimal:190344,CVE-2019-25013,High,vulnerabilities,rhel:8,glibc-common-2.28-127.el8_3.2,pkgdb,rpm,2.28-127.el8_3.2,None,https://access.redhat.com/security/cve/CVE-2019-25013,no_data,"The iconv feature in the GNU C Library (aka glibc or libc6) through 2.32, when processing invalid multi-byte input sequences in the EUC-KR encoding, may have a buffer over-read.",AV:N/AC:M/Au:N/C:N/I:N/A:C,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,,,Upstream patched in version 2.33 on 12/21/2020. RH has not patched.
